en,sv
arms,vapen
army,armén
arous,upphets
arrogan,arrogan
arse,röv
arsehole,rövhål
arses,rövar
arter,arter
arthr,artr
as,som
asexual,asexuell
asf,som fan
asham,skams
ask,fråga
asked,frågade
asking,frågar
asks,frågar
asleep,sovande
aspirin,aspirin
ass,röv
assass,mörd
assault,överfall
assembl,monter
assertive,bestämd
asses,åsnor
asshole,idiot
assign,tilldela
assistan,assisten
associate,associera
associated,associerad
associates,associerar
associating,associera
association,förening
assum,antag
assur,försäkr
asswipe,toapapper
asthma,astma
ate,åt
atm,bankomat
atms,bankomater
attack,attack
attainable,uppnåelig
attendant,deltagare
attract,locka till sig
attracted,lockade
attracting,locka
attraction,attraktion
attracts,attraherar
attribut,attribut
auction,auktion
audit,granska
audited,granskade
auditing,granskning
auditor,revisor
auditorium,hörsal
auditors,revisorer
audits,granskningar
aunt,moster
authorit,auktori
authorize,godkänna
autops,obdukt
average,genomsnitt
averse,obenägna
aversi,motvilj
avert,avvärja
avoid,undvika
award,tilldela
awesome,grymt bra
awesomer,bättre
awesomest,bäst
awful,förfärlig
awfulest,förfärligare
awkward,pinsam
awkwardness,pinsamhet
babe,brud
babies,spädbarn
baby,bebis
bachelor,ungkarl
bachelor',ungkarl'
bachelorette,singeltjej
bachelors,ungkarlar
bacon,bacon
bad,dålig
badass,tuffing
badly,dåligt
bae,bae
bake,baka
baking,bakning
bald,skallig
balk,balk
bamf,bamf
banana,banan
band,band
bandage,bandage
bandaid,plåster
bands,band
bank,bank
banter,skämt
baptis,dop
baptiz,döp
bar,bar
barely,knappt
bargain,förhandla
bars,barer
based,baserad
bashful,blyg
basis,grund
bastard,bastard
battl,slag
bb,bb
bbq,bbq
bby,bby
bc,f.Kr.
bcc,bcc
bdsm,bdsm
bean,böna
beard,skägg
beat,slå
beaten,slagen
beating,stryk
beats,slår
beau,vack
beautiful,vacker
beautify,försköna
beauty,skönhet
because,eftersom
beef,nötkött
beer,öl
before,innan
beg,be
beggar,tiggare
begged,bad
begging,tiggeri
beginner,nybörjare
begs,tigger
behead,halshugga
belief,tro
bellies,magar
belly,mage
beloved,älskad
below,nedanför
benefic,förde
benefit,fördel
benefits,fördelar
benefitt,fördelar
benevolen,välvilj
benign,godartad
bereave,beröva
best,bäst
bestest,bästaste
bestfriend,bästa vän
bestie,bästis
besties,bästis
bet,vad
bets,vadhållning
better,bättre
betting,vadhållning
beware,akta sig
bf,pojkvän
bf's,pojkväns
bff,bff
bfs,bfs
bi,bi
bi-sexual,bisexuell
biatch,biatch
bible,bibel
biblic,bibliska
bicep,bicep
big,stor
bigger,större
biggest,största
bill,räkningen
billed,fakturerad
billing,fakturering
billion,miljard
bills,räkningar
binge,binge
binging,binging
biolog,biolog
biotch,biotch
bipolar,bipolär
bishop,biskop
bit,bit
bitch,bitch
bitcoin,bitcoin
bits,bitar
bitter,bitter
bitterly,bittert
bitterness,bitterhet
bittersweet,besksöta
biz,biz
bj,bj
blackboard,svarta tavlan
bladder,blåsa
blam,skyll
blatant,uppenbar
bldg,byggnad
bleed,blöda
bless,välsigna
blind,blind
bliss,salighet
blood,blod
bloody,blodig
blowjob,avsugning
blur,suddighet
bodi,kroppa
body,kropp
boi,boi
boil,koka upp
bold,djärv
bolder,djärvare
boldest,djärvaste
boldly,djärvt
bollock,skitsnack
bone,ben
boner,stånd
bones,ben
bonus,bonus
bony,benig
boob,tutte
book,bok
booty,röv
booz,supa
border,gräns
bore,uttråkan
boring,tråkig
borrow,låna
boss,chef
bossed,bossad
bosses,chefer
bossy,bossy
both,båda
bother,störa
bottom,botten
bought,köpte
bowel,tarm
boy,pojke
boy's,pojkens
boyfriend,pojkvän
boyhood,ungdom
boyish,pojkaktig
boys,pojkar
brain,hjärna
brave,modig
braved,mod
braver,modigar
bravery,mod
braves,modias
bravest,modigat
bread,bröd
breakfast,frukost
breakup,uppbrott
breast,bröst
breath,andedräkt
bride,brud
bright,ljus
brighter,ljusare
brightest,ljusast
brilliance,briljans
brilliant,briljant
brilliantly,briljant
bro,bro
bro',bro'
broader,bredare
broadest,bredast
broke,fattig
broker,fattigare
bronchi,bronki
bros,brorsor
brother,bror
brownies,brownies
bruh,bruh
brunch,brunch
brush,borste
brutal,brutal
bs,bs
buck,stålar
bucks,stålar
bud,polar
buddh,buddh
buddies,polare
buddy,polare
budget,budget
bulimi,bulimi
bullies,mobbare
bullshit,bullshit
bully,mobbare
bum,luffare
bumfuck,bumfuck
bums,luffare
bunch,flera
burden,börda
bureau,byrå
burger,burgare
burial,begravning
buried,begravd
burn,brinna
burned,brann
burning,bränna
burnout,utbränd
burns,bränner
burnt,bränd
burp,rap
bury,begrave
busier,mer upptagen
busiest,mest upptagen
business,företag
busy,upptagen
butt,rumpa
butter,smör
buttfuck,analsex
butts,rumpor
buy,köpa
bye,hejdå
cafe,kafé
caffeine,koffein
cake,kaka
calculus,matte
call,ringa
call-girl,eskort
called,ringde
caller,uppringare
callgirl,eskort
calling,ringer
calls,samtal
calm,lugn
calmer,lugnare
calmest,lugnast
calming,lugnande
calmly,lugnt
campaign,kampanj
campus,campus
campus,campus
candie,gottis
candy,godis
captain,kapten
captive,fängslad
cardia,kardio
cardio,konditionsträning
care,vård
cared,brydde
career,karriär
carefree,bekymmerslös
careful,försiktig
careless,vårdslöss
cares,bryr
caress,smeka
caretaker,vårdtagare
caring,omhändertagande
cash,cash
cashed,inkasserad
cashes,inkasserar
cashing,inkasserar
casino,kasino
casket,kista
caste,kast
casual,casual
casually,avslappnat
casualt,olyck
catholic,katolsk
caus,kaus
caution,varning
cautious,försiktig
cbt,kbt
cc,cc
cced,ccat
cease,sluta
celebrat,fir
celebrities,kändisar
celebrity,kändisar
cemet,kyrkog
cent,öre
cents,ören
ceo,vd
cereals,flingor
certain,vissa
certif,certif
cfo,cfo
chairm,ordför
chairperson,ordförande
chairw,ordför
challeng,utman
champ,mästar
chance,möjlighet
change,förändra
changed,förändrad
changes,förändringar
changing,förändring
chap,kap
chapel,kapell
chaplain,pastor
chapter,kapitel
charisma,karisma
charit,välgören
charm,charm
chat,samtal
cheap,billig
cheapen,prissänka
cheaper,billigare
cheapest,billigast
cheat,fuska
checkbook,checkhäfte
checkup,återbesök
cheek,kind
cheer,heja
cheerful,glad
cheers,skåla
cheery,munter
chees,ost
chequ,chec
cherish,vårda
chest,bröst
chew,tugga
chick,brud
chick',brud'
chicks,brudare
chief,chef
child,barn
child',barn'
children,barn
chili,chili
chills,rysningar
chiropract,kiroprakt
chit-chat,småprat
chitchat,småprat
chlamydia,klamydia
chocolat,choklad
chok,chock
cholester,kolester
chore,syssla
chow,käk
christ,krist
christen,kristen
christian,kristen
christmas,jul
chronic,kronisk
chuckl,skrat
chum,kamrat
chums,kamrater
church,kyrka
cigar,cigarr
citizen,medborgare
citizen',medborgare'
citizens,medborgare
class,klass
classes,klasser
classmate,klasskompis
classmates,klasskamrater
classroom,klassrum
cleaner,rengöringsmedel
cleanest,renaste
clear,klar
clearly,klart
clergy,präster
clever,duktig
client,klient
clinic,klinik
clique,klick
clit,klit
clitoris,klitoris
closer,närmare
closest,närmast
clothes,kläder
co-work,co-work
coach,tränare
cock,kuk
cocks,kukar
cocktail,cocktail
codeine,kodein
coffee,kaffe
coffin,kista
coin,mynt
coins,mynt
coke,koks
cola,cola
cold,kall
colder,kallare
coldest,kallaste
coldly,kallt
collaborate,samarbeta
collaboration,samarbete
collaborative,samarbete
collaborator,medarbetare
colleague,kollega
colleg,kolleg
colon,tarm
colono,koloni
coma,koma
comed,komed
comfort,bekvämlighet
comfortable,bekväm
comfortably,bekvämt
comforting,tröstande
comforts,tröstar
coming,kommande
command,kommando
comment,kommentar
commerc,rekl
commit,begå
commitment,åtagande
commits,begår
committed,engagerad
committee,utskott
committing,begå
commun,gemensamt
commute,pendla
commuting,pendling
compadre,compadre
companies,företag
companion,följeslagare
company,företag
compar,jämfö
compassion,medkänsla
compel,tvinga
compensat,kompens
compet,tävl
complain,klaga
complete,komplett
completed,avslutad
completely,fullständigt
completes,färidgställ
compliance,samtyck
compliant,foglig
complied,gick med på
complies,uppfyller
compliment,komplimang
comply,följa
comput,dato
comrad,kamrat
concern,oro
concerned,bekymrad
condemn,fördoma
condom,kondom
condoms,kondomer
conferenc,konferens
confess,bekänna
confidant,förtrogen
confide,anförtro
confided,anförtrodde
confidence,självförtroende
confident,självsäker
confidently,självsäkert
confides,anförtror
confiding,förtroendefull
conform,anpassa
conformity,anpassning
confront,konfrontera
confuse,förvirra
confused,förvirrad
confusedly,förvirrat
confuses,förvirrar
confusing,förvirrande
confusion,förvirring
congest,belast
conglom,konglom
congregat,samlades
congress,kongress
conquer,erövra
conquest,erövring
consequen,följd
considerate,omtänksam
constipat,förstopp
construction,konstruktion
consult,konsult
consumer,konsument
contact,Kontakt
contacted,kontaktade
contacts,kontakter
contag,smitt
contempt,förakt
contented,belåten
contentment,belåtenhet
contingen,kontingent
contradic,motsäg
control,kontrollera
convent,kloster
convents,kloster
convers,konvers
cook,laga
cool,cool
cooler,coolare
coolest,coolast
cooling,kylning
cop,polis
cops,poliser
cornea,hornhinnan
coronar,obdukt
coroner,obducent
corp,org
corporat,organis
corps,lik
corpse,lik
correct,korrekt
cos,kos
cost,kosta
costed,kostade
costing,kostnader
costly,kostsam
costs,kostar
cough,hosta
counc,råd
couns,råd
coup,någr
couple,några
coupon,kupong
courag,mod
course,kurs
courtship,uppvaktning
cousin,kusing
coward,feg
cowboy,cowboy
cowgirl,cowgirl
cowork,kolleg
coz,för att
cramp,kramp
crap,skit
crappy,kass
crazier,galnare
craziest,galnast
crazy,galen
cream,kräm
creamer,gräddkanna
create,skapa
created,skapade
creates,skapar
creating,skapande
creation,skapelse
creations,skapelser
creative,kreativ
creativity,kreativitet
credential,kontakt
credit,kreditera
creepier,läskig
creepiest,läskigast
cremat,förbränn
crew,besättning
cried,grät
cries,gråter
criminal,kriminell
crises,kriser
crisis,kris
critical,kritisk
critici,kritik
crook,skurk
crooks,skurkar
crotch,skrev
crowd,folkmassa
crown,krona
crucif,krusif
crude,ohyfsat
crudely,ohyfsat
cruel,grym
crueler,grymmare
cruelest,grymmast
cruelty,grymhet
crusade,korståg
crushed,krossad
crushing,krossande
cry,gråta
crying,gråtande
crypt,krypta
cubicle,bås
cultur,kultur
cum,sperma
cumming,komma
cums,kommer
cunt,fitta
cupcake,muffin
curb,trottoarkant
currenc,valut
curricul,läropl
curse,förbanna
customer,kund
cut,skära
cute,söt
cuter,sötare
cutest,sötast
cutie,låda
cuz,för att
cv,cv
cynic,cyniker
cyst,cysta
dad,pappa
dad's,pappas
daddies,pappor
daddy,pappa
daddy's,pappas
dads,pappas
damag,skad
dame,dam
dammit,fan
damn,attans
damsel,dam
dance,dans
danced,dansade
dances,danser
dancing,dansar
dang,förbannat
danger,fara
dangerous,farlig
dangerously,farligt
dangers,faror
danker,fuktig
dankest,fuktigast
daring,modig
darker,mörkare
darkest,mörkast
darlin,älsklin
darn,fasiken
date,date
dating,dating
daughter,dotter
dawg,dawg
daze,förvirring
dead,död
deadbeat,odåga
deadline,deadline
deaf,döv
dean,rektor
dear,älskning
dearly,kärt
death,död
debate,debatt
debit,skuld
debt,skuld
decay,förfall
decease,sjukdom
decent,anständig
deceptive,vilseledande
deceiv,svik
decongest,avsväll
deduc,avdra
deeper,djupare
deepest,djupast
defeat,besegra
defect,upptäcka
defenc,försv
defend,försvara
defense,försvara
defenseless,försvarslös
defensive,defensiv
defensively,defensivt
defensiveness,defensivt
defined,definierat
definite,definitivt
definitely,definitivt
definitive,definitivt
degrad,degrad
delectabl,ljuvl
delegate,delegat
delegated,delegerad
delegates,delegater
delegating,delegerar
delegation,delegation
delicate,ömtålig
delicious,utsökt
deligh,härli
demand,efterfrågan
demean,förringa
demise,förfall
demon,demon
demonic,demonisk
demons,demoner
demot,degrad
denial,förnekelse
denied,förnekad
denies,förnekar
dentist,tandläkare
deny,förneka
denying,förnekande
department,avdelning
depend,beror
depended,berodde
dependent,beroende
depending,bero
depends,bero
deposit,deposition
depress,sänka
depriv,beröv
dept,avd
derma,derma
desir,önsk
desk,skrivbord
despair,förtvivlan
desperat,desperat
despis,förakt
dessert,öken
destin,öd
destroy,förstöra
destruct,förstöra
destructed,förstörd
destruction,förstörelse
destructive,destruktiv
destructiveness,destruktivitet
determina,beslutsamh
determined,beslutsam
detox,detox
devastat,föröd
develop,utveckla
devil,jävul
devot,ägna
diabet,diabet
diagnos,diagnos
diarr,diarr
dick,kuk
dickhead,kukhuvud
dickhole,dickhole
dickish,dickish
dicks,kukar
dickwad,kukhuvud
dictate,diktera
dictator,diktator
die,dö
died,dog
dies,dör
diet,diet
difference,skillnad
different,annorlunda
difficult,svår
difficulties,svårigheter
difficulty,svårighet
digest,smälta
dignified,värdig
dignifies,dignifies
dignifying,värdigt
dignitaries,dignitärer
dignitary,dignitär
dignity,värdighet
dildo,dildo
dilf,dilf
dime,slant
dimes,slantar
dinar,målti
dine,äta
dined,åt
diner,matställen
dinero,pengar
diners,matställen
dines,äter
dining,ätande
dinner,middag
diplom,diplom
dipshit,idiot
directly,direkt
director,regissör
dirtier,smutsigare
dirtiest,smutsigast
disadvantag,nackdel
disagree,oense
disappoint,svika
disaster,katastrof
disciple,lärjunge
disclo,avslöj
discomfort,obehag
discount,rabatt
discourag,avskräck
discuss,diskutera
disease,sjukdom
disgrac,skam
disgust,avsky
dish,maträtt
dishearten,modfälla
dishes,maträtter
dishonor,vanära
disillusion,desillusion
dislike,motvilja
disliked,ogillade
dislikes,ogillar
disliking,ogillande
dismay,bestörtning
disorient,förvirra
disreput,vanrykt
diss,diss
dissatisf,missnöj
dissertat,avhandl
dissimil,dissimil
distinct,distinkt
distract,distrahera
distraught,upprörd
distress,ångest
distrust,misstro
disturb,störa
dividend,utdelning
divin,gudomliga
divorc,skilsmässa
dizz,diss
doa,doa
doctor,läkare
dollar,dollar
domina,domine
donate,donera
donated,donerat
donates,donerar
donating,donera
donation,donation
doofus,klant
doom,undergång
dork,nörd
dorm,studenthem
dosage,dosering
dose,dos
dosing,dosering
dotcom,punktcom
doubl,dubbel
doubt,tvivel
douche,svin
down,ner
downsiz,förminska
dozen,dussin
dr,dr
drank,drack
dread,förfär
dried,torkade
drier,tork
driest,torraste
drink,dryck
drool,dregla
dropout,hoppa av
drown,drunkna
drows,drows
drs,drs
drug,läkemedel
drunk,full
drunke,fullas
dry,torr
dryness,torrhet
dtf,dtf
dubious,tvivelaktig
duchess,hertiginna
dude,killen
dues,avgifter
dufus,klant
duke,av
dull,tråkig
dumb,dum
dumbass,dumhuvud
dumber,dummare
dumbest,dummast
dumbfuck,idiot
dummy,pucko
dump,dumpa
dunno,vet inte
duti,plik
duty,plikt
dwell,bo
dying,döende
dyke,flata
e-mail,e-post
e-mailed,mejlade
e-mailing,e-post
e-mails,e-post
each,varje
eager,ivrig
eagerly,ivrigt
eagerness,iver
ear,öra
earlier,tidigare
earliest,tidigast
earn,tjäna
earned,tjänade
earning,tjäna
earnings,förtjänst
earns,tjänar
ears,öron
ease,lätthet
easier,lättare
easiest,enklaste
easily,lätt
easiness,lätthet
easing,lindrande
easy,lätt
eat,äta
eaten,åt
eating,äter
eats,eats
econ,ekon
ecsta,ecsta
edit,redigera
education,utbildning
educational,pedagogisk
effect,effekt
effin,effin
effin',effin
effing,effing
effort,ansträngning
efl,efl
egg,ägg
ego,ego
egotis,egotis
eight,åtta
either,antingen
elbow,armbåge
elegan,elegan
elementary,elementärt
eleven,elva
elicit,framkalla
elit,elit
email,e-post
emailed,mailade
emailing,e-post
emails,e-postmeddelanden
embalm,balsamera
embarrass,besvära
embezzl,försking
emotion,känsla
emotional,känslig
emotions,känslor
emphysem,emfysem
employ,använda
employed,sysselsatt
employee,anställd
employer,arbetsgivare
employment,sysselsättning
emptier,emptier
emptiest,tommaste
emptiness,tomhet
empty,tömma
enabl,bidr
enact,uppföra
encourag,uppmuntr
enema,lavemang
enemie,fiende
enemy,fiende
energ,energ
engag,engag
enjoy,njut 
enorm,enorm
enrag,förarg
enslav,förslav
entertain,underhålla
enthus,entus
entire,hel
entrepreneur,entreprenör
envie,avundsj
envious,avundsjuk
envy,avundas
epidemic,epidemi
episcopal,epidemi
equal,likvärdig
equities,rättvisor
equity,rättvisa
equival,ekvivalent
erectile,erektil
erection,erektion
erotic,erotisk
errand,ärende
escap,fly
esl,esl
especially,framförallt
espresso,espresso
essential,grundläggande
estrogen,östrogen
euro,euro
euros,euro
evad,undg
evangel,evangel
eventual,eventuel
eventually,så småningom
ever,någonsing
every,varje
everybod,alla
everyday,dagligen
everyone,alla
everything,allt
everytime,varje gång
everywhere,överallt
evident,bevisligen
evil,ondska
ex,ex
ex-bf,ex-pv
ex-boyfriend,ex-pojkvän
ex-gf,ex-fv
ex-girlfriend,ex-flickvän
exact,exakt
exam,prov
exams,prov
exbf,expv
exboy,ex
excel,excel
excelled,utmärkte
excellence,förträfflighet
excellent,förträfflig
excellently,utmärkt
excelling,framträdande
excels,utmärker
exchang,utbyt
excite,upphets
excited,upphetsad
excitedly,uppfhetsande
excitement,upphetsning
exciting,spännande
excruciat,olidl
excus,ursäk
exec,avrätt
execution,avrättning
executive,värkställande
exercis,tränin
exes,ex
exgf,ex fv
exgirl,ex tjej
exhaust,uttömma
exhusb,exman
expect,förvänta
expense,utgift
expenses,utgifter
expensive,dyr
experiment,experimentera
expert,expert
explain,förklara
explained,förklarade
explaining,förklaring
explains,förklarar
explicit,explicit
exploit,utnyttja
express,uttrycka
exterminat,utrot
extra,extra
extremely,ytterst
exwife,exfru
exwive,ex fru
eye,öga
fab,fant
fabulous,fantastisk
fabulously,fantastiskt
fabulousness,fantastiskhet
face,ansikte
facebook,facebook
faces,ansikten
facial,ansiktsbehandling
fact,fakta
factor,faktor
factories,fabriker
factory,fabrik
facts,fakta
factual,faktamässig
facult,fakult
fag,bög
faggot,bög
faggy,bög
fail,misslyckande
faint,svag
fair,rättvis
fairer,mer rättvis
fairest,mest rättvis
fairly,ganska
faith,tro
fake,fake
fam,fam
fame,kändisskap
families,familjer
family,familj
famous,känd
famously,känt
fantasi,fantasi
fantastic,fantastisk
fantastical,fantastisk
fantastically,fantastisk
fantasy,fantasi
farewell,farväl
farsighted,långsynt
farther,längre
farthest,längst
faster,snabbare
fastest,snabbast
fat,tjock
fatal,dödlig
fate,öde
fated,ödesbestämd
fates,öden
father,far
fatigu,trötth
fats,fetter
fatted,gödd
fatten,göda
fatter,tjockare
fattest,tjockast
fattier,fetare
fatties,fetton
fattiest,fetaste
fatty,fetto
fault,fel
fav,fav
fave,favo
favor,favor
favoring,favoriserande
favorite,favorit
favors,tjänster
favour,favor
fax,fax
fb,fb
fear,rädsla
feared,fruktade
fearful,rädd
fearing,rädd
fearless,orädd
fears,rädslor
feasible,möjlig
fed,matade
fee,avgift
feed,feed
feedback,feedback
feeder,matare
feeding,matande
feeds,feeds
feel,känna
feelin,känn
feeling,känsla
feelings,känslor
feels,känns
fees,avgifter
feet,fötter
fella,polare
fellow,gemensam
fellow's,gemensam
fellows,polare
fellowship,gemenskap
felt,kände
female,kvinna
females,kvinnor
feminine,feminin
femininity,femininitet
femme,femme
feroc,våldsa
festiv,festli
fetish,fetish
feud,fejd
fever,feber
few,få
fewer,färre
fewest,minst
fiance,fästmö
fiance's,fästmös
fiancee,fästman
fiances,fästmans
fiery,eldig
fiesta,fiesta
fift,femt
fight,bråk
finaliz,avslut
finals,avslut
financ,finans
fine,fin
finer,finare
finest,finast
finger,finger
finna,finna
fire,eld
fired,sparkad
firing,sparkar
first,första
first-class,första klass
firstly,för det första
firsts,första
fitness,fitness
five,fem
fixin,fixar
fixin',fixar
flatter,smicker
flawless,felfri
fled,flydde
flee,fly
fleeing,flyende
flees,flyr
flesh,kött
flexib,flexib
flirt,flört
flirtatious,flörtig
flirted,flörtade
flirting,flörtande
flirts,flörtar
flirty,flörtigt
flu,influensa
flunk,tur
fml,fml
foe,fiende
folks,folk
follower,följare
fond,öm
fondly,ömt
fondness,ömhet
food,mat
fool,lura
fooled,lurade
fooling,lura
foolish,dåraktig
foolishly,dåraktigt
fools,dårar
foot,fot
forbade,förbjöd
forbid,förbjuda
forbidden,förbjuden
forbidding,förbjudande
forbids,förbjuder
forbod,förbud
force,tvinga
forearm,underarm
forehead,panna
foreplay,förspel
foresee,förutse
foreshadow,förebåda
foresight,förutseende
forever,för alltid
forgave,förlät
forgiv,förlåt
formal,formell
former,tidigare
formerly,förr
forseeable,förutsebar
forthcoming,kommande
fortunately,Lyckligtvis
fortune,förmögenhet
forwarded,vidarebefordras
fought,kämpade
foundation,grund
founded,grundad
four,fyra
fragil,skör
frail,skör
franc,franc
franchis,franchis
francs,francs
frankly,uppriktigt
frantic,utom sig
frat,frat
freak,freak
free,fri
free-think,fritt tänkande
freed,befriade
freeing,befriande
freely,frivilligt
frees,befriar
freethink,fritänkande
freez,frys
frenem,frenem
fresher,fräschare
freshest,fräschast
freshm,förstaårss
friend,vän
friendlier,vänligare
friendliest,vänligaste
friendly,vänlig
friends,vänner
fries,pommes
friggin,jäkla
friggin',jäkla
frigging,jävla
fright,skrämsel
froze,frös
fruit,frukt
frustrat,frustrer
fry,fritera
fu,fu
fuck,knulla
fuckboy,fuckboy
fucked,körd
fucker,fucker
fuckface,fuckface
fuckh,fuckh
fuckin,fuckin
fucks,fucks
fucktard,fucktard
fucktoy,fucktoy
fucktwat,fucktwat
fuckwad,fuckwad
fuller,fylligare
fullest,fullaste
fume,rök
fuming,rykande
fun,roligt
fund,finansiera
fundamental,grundläggande
fundamentalis,fundamentalister
fundamentally,fundamentalt
fundamentals,fundamenta
funded,finansierade
funding,finansiering
funds,medel
funer,begravn
funner,roligare
funnest,roligast
funnier,roligare
funnies,roligas
funniest,mest rolig
funnily,roligast
funniness,rolighet
funny,rolig
furious,rasande
further,ytterligare
furthest,längst
fury,raseri
futur,framti
fuzz,ludd
fwb,fwb
gal,tjej
gals,tjejer
gambl,Spel
game,spel
gang,gäng
gangs,gäng
gather,samla
gave,gav
gay,gay
gayer,mer gay
gayest,mest gay
gays,gays
gbp,pund
geek,nörd
generally,generellt sett
generate,generera
generating,genererande
generator,generator
genero,genero
genital,genital
genocid,folkmord
gent,försikt
gentile,snäll
gentle,mild
gentlem,gentlem
gentler,mjukare
gentlest,mild
gentlewom,dam
gently,försiktigt
gents,herrar
gf,gf
ghost,spöke
giggl,fniss
gigolo,Gigolo
girl,flicka
girl's,flickas
girlfriend,flickvän
girlh,flick
girli,flick
girls,flickor
girly,flickaktigt
give,ge
giver,givare
gives,ger
giving,ger
glad,glad
gladly,gladeligen
glamor,glamour
glamour,glamour
gland,körtel
glaucoma,glaukom
gloom,dyster
gloomier,dystrare
gloomiest,dystraste
gloomily,dystert
gloominess,dysterhet
gloomy,dyster
glori,ärof
glory,ära
glutton,frossare
gmat,gmat
goal,mål
gobble,sluka
gobbling,slukande
god,Gud
god's,Guds
goddam,helvet
goddess,gudinna
godfather,gudfader
godmother,gudmor
godparent,gudförälder
going,ska
gon,gon
gonna,ska
gonorrhea,gonnorre
good,Bra
good-for-nothing,värdelös
goodbye,hejdå
goodness,godhet
goosebump,gåshud
gorgeous,underbar
gorgeously,underbart
gorgeousness,underbarhet
gospel,gospel
gossip,skvaller
gotta,måste
gov,reger
govern,regeringen
gpa,betyg
grab,ta
grace,nåd
graced,hedrad
graceful,graciös
graces,nåd
graci,nådi
grad,bety
grade,betyg
grading,gradering
graduat,examen
gramp,farf
grand,storhet
grandchil,barnbar
granddad,farfar
granddau,barnbar
grande,stor
grandfath,farfar
grandkid,barnbarn
grandm,farm
grandpa,morf
grandson,barnbarn
granny,mormor
grasp,grepp
gratef,tacksa
grati,tacksamh
grave,grav
gre,toppe
great,toppen
greater,bättre
greatest,bäst
greatness,storhet
greed,girighet
greet,häls
grief,sorg
griev,sörj
grim,dyster
grimac,grima
grimly,grymt
grin,flin
grinn,flina
grins,flin
grip,grepp
gripp,grepp
grips,grepp
grl,tjej
grocer,handlare
groom',brudgum
gross,äckligt
grossed,äcklad
grosser,äckligare
grossest,äckligast
grossing,uppräkning
grossly,grovt
grossness,äcklighet
grouch,surpuppa
group,grupp
grown-up,vuxna
grownup,vuxen
grr,grr
grudg,agg
guarant,guarant
guard,vakt
guess,gissa
guessed,gissade
guesses,gissningar
guessing,gissande
guest,gäst
guilt,skuld
guilt-trip,skuldkänslor
guiltier,skyldigare
guiltiest,skyldigast
guilty,skyldig
gulp,klunk
gums,tandkött
gunna,ska
gurl,chey
gut,mage
